original_text,summary
hi my name is rahul and i am doing ms at usu logan my query is i have a hp workstation hp series 400 with x running on it i have a true color 24bit color monitor connected to this machine normally i have the capability to display 256 colors from a max of 16 7 million since the monitor is true color i can see 16 7 million at a time que do we have a facility in x c function call that will enable me to specify any rgb combination and see it on screen i am using xstorecolor to set the pallette of a max of 256 colors que if not is there any way i can display a true color image on a true color monitor using xlib function calls we are generating ray traced images and 256 colors are indeed a painful limit besides i need the facility to display the true color images i will be generating on a true color system without color quantification please if anyone can help i d be obliged,hi my name is rahul and i am doing ms at usu logan my query is i have a hp workstation hp series 400 with x running on it i have a true color 24bit color monitor connected to this machine normally i have the capability to display 256 colors from a max of 16 7 million since the monitor is true color i can see 16 7 million at a time que do we have a facility in x c function call that will enable me to specify any rgb combination and see it on screen i am using xstorecolor to set the pallette of a max of 256 colors que if not is there any way i can display a true color image on a true color monitor using xlib function calls we are generating ray traced images and 256 colors are indeed a painful limit besides i need the facility to display the true color images i will be generating on a true color system without color quantification please if anyone can help i d be obliged
snip anything you store in there will eventually cause some discomfort over time,snip anything you store in there will eventually cause some discomfort over time
how can one tell which prong of your basic chip is number 20 i realize there is a chunk of the chip missing so that one can orient it correctly so using that hole as a guide how can i count the prongs of the chip to find 20 please help,how can one tell which prong of your basic chip is number 20 i realize there is a chunk of the chip missing so that one can orient it correctly so using that hole as a guide how can i count the prongs of the chip to find 20 please help
somebody in comp multimedia was also having trouble using a spigot in his lc iii it turned out he needed the latest version of screenplay 1 1 1 which fixed things,somebody in comp multimedia was also having trouble using a spigot in his lc iii it turned out he needed the latest version of screenplay 1 1 1 which fixed things
this may be a very naive question but is there any basis for the claim that a cpu will get hotter when a computationally intensive job is running my friend claims that there will be little difference in the temperature of an idle cpu and a cpu running a computationally intensive job,this may be a very naive question but is there any basis for the claim that a cpu will get hotter when a computationally intensive job is running my friend claims that there will be little difference in the temperature of an idle cpu and a cpu running a computationally intensive job
i am looking for a monitor 17 or larger that could do 1024x748 with and 8514 a card ps2 70 i guess i would prefere 19 and mono later becuase of lower price please email me the brand model condition and asking price,i am looking for a monitor 17 or larger that could do 1024x748 with and 8514 a card ps2 70 i guess i would prefere 19 and mono later becuase of lower price please email me the brand model condition and asking price
the alt hierarchie is created for 2 purposes 1 for groups which do not fit under the comp or other official hierarchies 2 for the fast creation of hot new newsgroups like alt gulf war because there is no voting process or any other control facilities sites are free to decide not to carry some of the alt groups therefore it is i think desirable to try to create comp graphics raytrace rendering or whatever and not an alt group,the alt hierarchie is created for 2 purposes 1 for groups which do not fit under the comp or other official hierarchies 2 for the fast creation of hot new newsgroups like alt gulf war because there is no voting process or any other control facilities sites are free to decide not to carry some of the alt groups therefore it is i think desirable to try to create comp graphics raytrace rendering or whatever and not an alt group
t8900dip txt jeffrey e hundstad j3gum vax1 mankato msus edu switch settings on the trident 8900c vga graphics adapter layout 1 8 dram vga graphics adapter layout 2 2 4 8 dram vga graphics adapter layout 3 2 4 8 dram 1 dip switches 2 db 15 connector for analog monitors 3 db 9 connector for ttl monitors note 1 4 jumers j1 j2 j3 j4 j3 for layouts 2 and 3 j4 for layout 3 5 video bios basic input ouput system 6 tvga 8900 chip vga graphics chip 7 edge connector for ibm pc xt pc at and compatible systems 8 video dram up to 1mb 9 feature connector for special applications 10 video dac 11 jumper blocks jp1 and jp2 2 4 8 board only note 1 hardware option feature not present for all board versions switch settings for the 6 switch dip box 1 from figures switch 3 scan rate on less than 48khz default off 38 49khz switch 5 fast and slow address decode off fast address decode default on slow address decode switch 6 8 16 bit data path off 16 bit data path default on 8 bit data path jumper settings j1 settings for irq9 1 2 3 1 2 3 xxx xxx off def on j2 settings for bus size detections 1 1 x 2 x 2 x 3 x 3 autodetect standard interface def j3 settings for dram configuration 1 2 3 1 2 3 1 2 3 4 5 6 4 5 6 4 5 6 two dram four dram eight dram j4 dram clock select 1 2 3 1 2 3 xxx xxx 40 mhz 48 mhz two dram 4 8 dram sw1 sw2,t8900dip txt jeffrey e hundstad j3gum vax1 mankato msus edu switch settings on the trident 8900c vga graphics adapter layout 1 8 dram vga graphics adapter layout 2 2 4 8 dram vga graphics adapter layout 3 2 4 8 dram 1 dip switches 2 db 15 connector for analog monitors 3 db 9 connector for ttl monitors note 1 4 jumers j1 j2 j3 j4 j3 for layouts 2 and 3 j4 for layout 3 5 video bios basic input ouput system 6 tvga 8900 chip vga graphics chip 7 edge connector for ibm pc xt pc at and compatible systems 8 video dram up to 1mb 9 feature connector for special applications 10 video dac 11 jumper blocks jp1 and jp2 2 4 8 board only note 1 hardware option feature not present for all board versions switch settings for the 6 switch dip box 1 from figures switch 3 scan rate on less than 48khz default off 38 49khz switch 5 fast and slow address decode off fast address decode default on slow address decode switch 6 8 16 bit data path off 16 bit data path default on 8 bit data path jumper settings j1 settings for irq9 1 2 3 1 2 3 xxx xxx off def on j2 settings for bus size detections 1 1 x 2 x 2 x 3 x 3 autodetect standard interface def j3 settings for dram configuration 1 2 3 1 2 3 1 2 3 4 5 6 4 5 6 4 5 6 two dram four dram eight dram j4 dram clock select 1 2 3 1 2 3 xxx xxx 40 mhz 48 mhz two dram 4 8 dram sw1 sw2
jg after this fall i believe ibm no longer has any rights to jg view microsoft code after that the only way to maintain jg some sort of compatibility is to reverse engineer would jg you want to reverse engineer an ole2 application don t they retain windows nt oem status if so that gives them nt source code and since windows is headed toward nt win32s win32c slmr 2 1a t a g l i n e m e a s u r i n g g a u g e,jg after this fall i believe ibm no longer has any rights to jg view microsoft code after that the only way to maintain jg some sort of compatibility is to reverse engineer would jg you want to reverse engineer an ole2 application don t they retain windows nt oem status if so that gives them nt source code and since windows is headed toward nt win32s win32c slmr 2 1a t a g l i n e m e a s u r i n g g a u g e
a friend of mine had the same problem it turned out that his floppy was set up as a 5 1 4 1 2mb drive instead of 3 5 1 44mb might help matt,a friend of mine had the same problem it turned out that his floppy was set up as a 5 1 4 1 2mb drive instead of 3 5 1 44mb might help matt
dos 5 never used the area e000 efff as well as some others if you have any cards that use this are such as a lan card you might get this problem,dos 5 never used the area e000 efff as well as some others if you have any cards that use this are such as a lan card you might get this problem
i have a always in 2000 scsi card for sale w manuals software and cables make your best offer on this,i have a always in 2000 scsi card for sale w manuals software and cables make your best offer on this
here s a question that may be simple enough to answer but has stumped myself and a few others what does an external ram cache card do for you if you already have a large cache set through control panel in your simms ex i have a mac iici with 20 meg ram an external video card so i don t rob my simm s and the default apple cache card i believe this is 32k say i have my cache set at 2 meg what good does a measly 32k do me on the cache card could it actually slow things down by dividing the cache between the card and the simm s or does it still speed things up by providing a secondary staging area for data normally passed directly into the simm ram cache i m confused because it seems like cache cards are so low in memory to really do any good compared to what you can set yourself yet daystar fastcache has numbers which show around a 30 performance boost on some operations are the chips on the cache card simply faster than most simm accesses please help i m trying to find the optimum memory settings for the iici system described in the ex above,here s a question that may be simple enough to answer but has stumped myself and a few others what does an external ram cache card do for you if you already have a large cache set through control panel in your simms ex i have a mac iici with 20 meg ram an external video card so i don t rob my simm s and the default apple cache card i believe this is 32k say i have my cache set at 2 meg what good does a measly 32k do me on the cache card could it actually slow things down by dividing the cache between the card and the simm s or does it still speed things up by providing a secondary staging area for data normally passed directly into the simm ram cache i m confused because it seems like cache cards are so low in memory to really do any good compared to what you can set yourself yet daystar fastcache has numbers which show around a 30 performance boost on some operations are the chips on the cache card simply faster than most simm accesses please help i m trying to find the optimum memory settings for the iici system described in the ex above
hi folks i m planning to buy a lciii but need advice on choosing a monitor what do people recommend for a decent 14 15 monitor i v looked at some ads and the spec for nec 4fg 4fge and the price is within my budget but could lciii be able to use the various resolutions available on 4fg specifically the 1024x768 resolution does lciii only support one resolution also any recommendations for a reliable mail order place for lciii or monitors does anyone have experience with the following mail order places syex express houston tx usa flex bloomingdale il thanks jeff,hi folks i m planning to buy a lciii but need advice on choosing a monitor what do people recommend for a decent 14 15 monitor i v looked at some ads and the spec for nec 4fg 4fge and the price is within my budget but could lciii be able to use the various resolutions available on 4fg specifically the 1024x768 resolution does lciii only support one resolution also any recommendations for a reliable mail order place for lciii or monitors does anyone have experience with the following mail order places syex express houston tx usa flex bloomingdale il thanks jeff
no when the program is run it loads 4 configuration files autoexec bat config sys win ini and system ini there is no open entry on the file menu you can only edit these four files if you need to edit some other program s ini file use notepad or some other ascii editor i wonder whether microsoft intended for sysedit to be used or if it was just a holdover from the testing period and they forgot to take it out the reason i think this is because there is absolutely no mention in the manuals about this program and there is no online help for it just an about entry under the file menu the program looks like something that was intended for internal use only it s kind of a shame though it would have made a nice multi file replacement for notepad,no when the program is run it loads 4 configuration files autoexec bat config sys win ini and system ini there is no open entry on the file menu you can only edit these four files if you need to edit some other program s ini file use notepad or some other ascii editor i wonder whether microsoft intended for sysedit to be used or if it was just a holdover from the testing period and they forgot to take it out the reason i think this is because there is absolutely no mention in the manuals about this program and there is no online help for it just an about entry under the file menu the program looks like something that was intended for internal use only it s kind of a shame though it would have made a nice multi file replacement for notepad
in reply to 20apr199312262902 rigel tamu edu lmp8913 rigel tamu edu preston lisa m,in reply to 20apr199312262902 rigel tamu edu lmp8913 rigel tamu edu preston lisa m
are you using fastopen if you are disable it we had a lot of problems with fastopen corrupting weird things including the windows permanent swap file when we were using it indeed they are advanced personal measure tells me they are accessed just before shell dll i really like spinrite and qa plus,are you using fastopen if you are disable it we had a lot of problems with fastopen corrupting weird things including the windows permanent swap file when we were using it indeed they are advanced personal measure tells me they are accessed just before shell dll i really like spinrite and qa plus
i believe the beta version of the service is available via ftp on ftp cica indiana edu in pub pc win3 nt called something like nwnt zip there is an index ascii file there which lists the programs in that directory and what they do unfortunately this beta will also disable netbeui and tcp ip over your primary nic so if you really want to run it get yourself an extra nic and bind it to that otherwise wait for next release like i am,i believe the beta version of the service is available via ftp on ftp cica indiana edu in pub pc win3 nt called something like nwnt zip there is an index ascii file there which lists the programs in that directory and what they do unfortunately this beta will also disable netbeui and tcp ip over your primary nic so if you really want to run it get yourself an extra nic and bind it to that otherwise wait for next release like i am
a few weeks ago i saw an ad in the german magazine c t about a so called videostreamer this is an interface between a pc s parallel port and any video recorder for backing up your data on a videotape the company datasave claims that it can store up to 7 gb on a 300 minutes tape it costs dm 250 about usd 200 i think my question is does anybody use this product if yes how many bytes really fit on a 300 minutes tape 7 gb sounds quite unbelievable to me however any comments on the interface are appreciated please mail your replies directly to me i will sum up if neccesary thanks in advance,a few weeks ago i saw an ad in the german magazine c t about a so called videostreamer this is an interface between a pc s parallel port and any video recorder for backing up your data on a videotape the company datasave claims that it can store up to 7 gb on a 300 minutes tape it costs dm 250 about usd 200 i think my question is does anybody use this product if yes how many bytes really fit on a 300 minutes tape 7 gb sounds quite unbelievable to me however any comments on the interface are appreciated please mail your replies directly to me i will sum up if neccesary thanks in advance
hi is it possible through either pin configuration or through software programming to change the ip numbers on an ethernet card thanks in advance dave tigger,hi is it possible through either pin configuration or through software programming to change the ip numbers on an ethernet card thanks in advance dave tigger
hi there i am very interested in rayshade 4 00 i have managed to make a chessboard for rayshade unfortunately i still have to do the knight horse any ideas i am also looking for a surface for the chesspieces the board is marble unfortunately black won t work very well for the one side anybody with ideas for nice surfaces i would also like to use the image command of rayshade and the heightfield command unfortunately the manual is very vague about this and i don t have craig kolb s email address anybody with ideas because this is essential for my next venture into raytracing where should i post the finished chessboard is there anybody else using rayshade on non unix systems how fast does unix render thanks,hi there i am very interested in rayshade 4 00 i have managed to make a chessboard for rayshade unfortunately i still have to do the knight horse any ideas i am also looking for a surface for the chesspieces the board is marble unfortunately black won t work very well for the one side anybody with ideas for nice surfaces i would also like to use the image command of rayshade and the heightfield command unfortunately the manual is very vague about this and i don t have craig kolb s email address anybody with ideas because this is essential for my next venture into raytracing where should i post the finished chessboard is there anybody else using rayshade on non unix systems how fast does unix render thanks
ok i have a problem that i thought you guys gals might know about i m running a 286dx 25 with a 85mb hdd i also have windows 3 1 but hardly any dos application will run out it also when i do a mem command it says that i have used up 58kb out of 640kb of conventional memory zero from upper level memory and all 385kb of my ems memory and to top it off i can t load any device drivers into upper memory do i just need more memory also why would it use up ems memory instead of upper memory please reply by e mail only to wes1574 tamvenus tamu edu bill scrivener it s not the first time that you texas a m university sleep with a woman that matters college station texas but the first time email wes1574 tamvenus tamu edu you wake up with her,ok i have a problem that i thought you guys gals might know about i m running a 286dx 25 with a 85mb hdd i also have windows 3 1 but hardly any dos application will run out it also when i do a mem command it says that i have used up 58kb out of 640kb of conventional memory zero from upper level memory and all 385kb of my ems memory and to top it off i can t load any device drivers into upper memory do i just need more memory also why would it use up ems memory instead of upper memory please reply by e mail only to wes1574 tamvenus tamu edu bill scrivener it s not the first time that you texas a m university sleep with a woman that matters college station texas but the first time email wes1574 tamvenus tamu edu you wake up with her
did you ever notice that 99 of all the problems are from people that run windows thanks ms,did you ever notice that 99 of all the problems are from people that run windows thanks ms
yes i don t know where douglas adams took it from but i m pretty sure he s the one who launched it in the guide since then it s been showing up all over the place,yes i don t know where douglas adams took it from but i m pretty sure he s the one who launched it in the guide since then it s been showing up all over the place
are there significant differences between v2 01 and v2 00 thank you for helping marc,are there significant differences between v2 01 and v2 00 thank you for helping marc
